script_id,script_url,label,predicted_label,predicted_probability,prediction_confidence,failure_type,max_api_aggregation_score,behavioral_api_agg_count,fp_api_agg_count,behavioral_source_api_count,fingerprinting_source_api_count,graph_construction_failure,dataflow_to_sink,total_fp_api_accesses,num_sink_types,has_storage_sink,has_network_sink,mouse_event_count,keyboard_event_count,touch_event_count,pointer_event_count,behavioral_event_diversity,behavioral_ratio,intensity_ratio
7392630,,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0
7392706,https://ws.zoominfo.com/pixel/61d72cbe8da8870015b71c8c,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0
7392560,https://www.googletagmanager.com/gtag/js?id=G-SHD5X90J3V,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,2.0,4.0,1,0,4,0,0,0,1,1,0,0,2,0.3333333333333333,0.3333333333333333
7392231,https://onlinebanking.nationwide.co.uk/Scripts/app.master.body.js?v=eKEE3c7r_Zs8HvVMTVjBnmOrjAhilZA945wty4kmASA1,0,0,0.00805426390461247,0.9919457360953876,Correct,3.0,3.0,0.0,58.0,2.0,0,1,2,1,0,0,0,18,0,28,2,0.9666666666666667,1.25
7392813,https://js-agent.newrelic.com/nr-full.61be70b9-1.240.0.min.js,0,0,0.0,1.0,Correct,1.0,0.0,1.0,6.0,1.0,0,0,2,0,0,0,1,1,1,1,4,0.8571428571428571,0.8571428571428571
7395946,https://analytics.tiktok.com/i18n/pixel/static/main.MWViNTc4Yjc2MQ.js,0,0,0.0,1.0,Correct,4.0,4.0,0.0,5.0,1.0,0,0,2,0,0,0,0,0,0,5,1,0.8333333333333334,1.5
7399477,https://content.r9cdn.net/res/combined.js?v=8ccb548d327f353016e9bc4c8d5349922848c781&cluster=4,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1.0,1.0
7392423,https://analytics-js-cdn.liferay.com/,0,0,0.0,1.0,Correct,3.0,0.0,3.0,2.0,7.0,0,0,12,0,0,0,0,0,0,1,1,0.2222222222222222,0.4444444444444444
7392397,https://cdn.dynamicyield.com/scripts/2.53.0/dy-coll-nojq-min.js,0,0,0.0,1.0,Correct,2.0,0.0,2.0,4.0,5.0,0,0,8,0,0,0,4,0,0,0,1,0.4444444444444444,0.4444444444444444
7392515,https://stake.com/_app/immutable/chunks/DWFfuv2K.js,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1.0,1.0
7392289,,0,0,0.18541402991704128,0.814585970082959,Correct,5.0,0.0,5.0,5.0,22.0,0,0,101,0,0,0,2,0,3,0,2,0.18518518518518517,0.25925925925925924
7392754,https://www.googletagmanager.com/gtag/js?id=AW-749503600,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,1.0,3.0,1,0,5,0,0,0,0,0,0,1,1,0.25,0.25
7393086,https://blackdiamondequipment.com/cdn/shop/t/13/assets/global.js?v=159157540268448759421746652242,0,0,0.0,1.0,Correct,2.0,0.0,2.0,2.0,4.0,0,0,5,0,0,0,1,0,0,1,2,0.3333333333333333,0.6666666666666666
7393112,https://blackdiamondequipment.com/cdn/shop/t/13/assets/bootstrap.bundle.min.js?v=92064110504411036791742826270,0,0,0.0,1.0,Correct,4.0,4.0,0.0,4.0,0.0,0,0,0,0,0,0,0,2,0,2,2,1.0,1.0
7402953,https://www.condorcycles.com/,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
7393202,https://s.go-mpulse.net/boomerang/5QYRA-QTEEB-GK8AA-REZVV-GFYPW,0,0,0.0186721847999386,0.9813278152000615,Correct,10.0,0.0,10.0,1.0,14.0,0,1,22,5,1,1,1,0,0,0,1,0.06666666666666667,0.13333333333333333
7393612,https://trustco.onlinebank.com/ScriptResource.axd?d=S6jdmXNVy32HPs1eERaoRi7ezDfz9ZUA3ZnoT9oDVq0b_Lyi730qb2Td_BE2b2qQS3xhjIre37GecVXCSMreHahgCXKLqIaFb8Zbj98EegJ8J9dkyYmuU4jJAIrOphIPbwACBqQWurKBXE9vuAE6F5WkKWVhz6eS3ATkiiXvtOe64pAsfpNehanpCJPpXS-t0&t=ffffffffcd8a046f,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0
7393615,https://trustco.onlinebank.com/ScriptRegistrar.aspx?bundle=jQuery3&h=6836E9025EC15C04D8B54A32CE695922,0,0,0.0029462968427264678,0.9970537031572735,Correct,4.0,3.0,1.0,6.0,2.0,0,0,2,0,0,0,6,0,0,0,1,0.75,1.375
7397315,https://authentication.td.com/waw/idp/js/td_common_153.js,0,0,0.19208651717904576,0.8079134828209543,Correct,3.0,3.0,0.0,26.0,37.0,0,0,67,0,0,0,0,8,8,7,3,0.4126984126984127,0.5873015873015873
7397117,https://vidstat.taboola.com/vpaid/units/35_5_8/infra/cmTagINSTREAM.js,0,0,0.003283459388359092,0.9967165406116409,Correct,1.0,0.0,1.0,1.0,5.0,0,0,8,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666
7398363,https://static-tracking.klaviyo.com/onsite/js/vendors~Render.acad0c1672d3201f39e3.js,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1.0,1.0
7392617,https://www1.bmo.com/banking/digital/5886.c5ed0c1673411b55.js,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,1.0,1.0
7392531,https://www1.bmo.com/banking/digital/assets/scripts/launch/5aebfc6032e6/f0a14720c9cf/66a32ae04f37/EX66b79dd2ee67430891f5743edba8f0ab-libraryCode_source.min.js,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,2.0,0,0,4,0,0,0,0,0,0,1,1,0.3333333333333333,0.6666666666666666
7392694,https://www.googletagmanager.com/gtm.js?id=GTM-T3XQ73L,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,4.0,1.0,1,0,1,0,0,0,0,0,0,4,1,0.8,1.6
7392692,https://www.midcountry.bank/login/,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0
7393183,https://cdn.shopify.com/extensions/07eebe31-46a3-476d-a9c2-f404ac8641f1/consentmo-gdpr-293/assets/consentmo_cookie_consent.js,0,0,0.0,1.0,Correct,3.0,2.0,1.0,4.0,2.0,0,1,2,1,0,0,0,2,0,2,2,0.6666666666666666,0.8333333333333334
7393073,https://connect.facebook.net/signals/config/184288841990449?v=2.9.201&r=stable&domain=blackdiamondequipment.com&hme=9ebdfdd473ffce6bfe2267012c83f73483198ffe20d84139a2066b7682f827c0&ex_m=73%2C128%2C113%2C117%2C64%2C6%2C106%2C72%2C19%2C100%2C92%2C54%2C57%2C181%2C202%2C209%2C205%2C206%2C208%2C32%2C107%2C56%2C80%2C207%2C176%2C179%2C203%2C204%2C189%2C139%2C44%2C194%2C191%2C192%2C37%2C151%2C18%2C53%2C198%2C197%2C141%2C21%2C43%2C2%2C46%2C68%2C69%2C70%2C74%2C96%2C20%2C17%2C99%2C95%2C94%2C114%2C55%2C116%2C42%2C115%2C33%2C97%2C29%2C177%2C180%2C148%2C14%2C15%2C16%2C8%2C9%2C28%2C25%2C26%2C60%2C65%2C67%2C78%2C105%2C108%2C30%2C79%2C12%2C10%2C83%2C51%2C24%2C110%2C109%2C111%2C102%2C13%2C23%2C4%2C41%2C77%2C22%2C160%2C89%2C135%2C76%2C1%2C98%2C59%2C87%2C36%2C31%2C85%2C86%2C91%2C40%2C7%2C93%2C84%2C47%2C35%2C38%2C0%2C71%2C118%2C90%2C5%2C50%2C49%2C101%2C88%2C246%2C174%2C126%2C163%2C156%2C3%2C39%2C66%2C45%2C112%2C48%2C82%2C63%2C62%2C34%2C103%2C61%2C58%2C52%2C81%2C75%2C27%2C104%2C11%2C119,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,1,0.5,1.0
7403330,https://amscope.com/,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
7392691,https://www.onlinebanktours.com/external/v5/BCM_Light_Box.js,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1.0,2.0
7392399,https://banco.itau.co/documents/d/global/jquery-min,0,0,0.03918418471713008,0.9608158152828699,Correct,13.0,13.0,0.0,38.0,2.0,0,0,3,0,0,0,6,6,6,8,4,0.95,1.575
7392326,https://u633.synchronybank.com/plugin/library/96c161c960906366747b36772f03d618,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1.0,1.0
7392626,https://mpsnare.iesnare.com/general5/wdp.js?loaderVer=5.2.2&compat=false&tp=true&tp_split=false&fp_static=true&fp_dyn=true&flash=false,1,1,0.9999506741578346,0.9999506741578346,Correct,18.0,18.0,0.0,32.0,17.0,0,0,31,0,0,0,5,4,7,5,4,0.6530612244897959,1.8571428571428572
7392290,https://www.westpac.com.au/content/dam/public/wbc/analytics/alloy/alloy_wlive.min.js,0,0,0.008122827940598931,0.9918771720594011,Correct,6.0,1.0,5.0,1.0,5.0,0,1,6,3,1,1,0,0,0,1,1,0.16666666666666666,0.3333333333333333
7392879,https://www.onlinebanking.natwest.com/chunk-NDXQDJZR.js,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,6.0,0.0,1,0,0,0,0,0,3,1,1,0,3,1.0,1.1666666666666667
7393406,https://www.googletagmanager.com/gtm.js?id=GTM-5B2NKSL&gtm_auth=NlAkKaCIDbY6ZdAAeZzphQ&gtm_preview=env-1&gtm_cookies_win=x,0,0,0.0029462968427264678,0.9970537031572735,Correct,-1.0,-1.0,-1.0,6.0,2.0,1,0,3,0,0,0,1,1,0,4,3,0.75,1.25
7392647,https://login.ringcentral.com/iojs/general5/static_wdp.js?loaderVer=5.2.2&compat=false&tp=true&tp_split=false&fp_static=true&fp_dyn=true&flash=false,1,1,0.9999506741578346,0.9999506741578346,Correct,18.0,18.0,0.0,32.0,17.0,0,0,31,0,0,0,5,4,7,5,4,0.6530612244897959,1.8571428571428572
7393134,https://a.klaviyo.com/media/js/onsite/onsite.js,0,0,0.0,1.0,Correct,2.0,2.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,3,1,1.0,1.3333333333333333
7392911,https://assets.adobedtm.com/90decdbe34ba/8fc0f6bfebd2/launch-07652895a1b1.min.js,0,0,0.0,1.0,Correct,2.0,1.0,1.0,1.0,2.0,0,1,2,2,1,0,0,0,0,1,1,0.3333333333333333,0.3333333333333333
7392559,https://tags.synchronybank.com/syf-bank-ser-acq-spa/prod/utag.65.js?utv=ut4.49.202503181339,0,0,0.0,1.0,Correct,2.0,0.0,2.0,1.0,7.0,0,1,16,1,0,1,0,0,0,1,1,0.125,0.25
7392716,https://web6.secureinternetbank.com/EBC_EBC1151/js/RemoteLogon,0,0,0.0192245301319575,0.9807754698680426,Correct,3.0,0.0,3.0,8.0,3.0,0,0,26,0,0,0,0,5,0,0,1,0.7272727272727273,1.8181818181818181
7392850,https://www.interbank.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1,0,0,0.0,1.0,Correct,5.0,5.0,0.0,5.0,0.0,0,0,0,0,0,0,1,1,1,1,4,1.0,1.0
